ID,FPS,LOOPTYPE,,
SuperClear,3,1,,
,,,,
TextureID,Left,Top,Width,Height
graphics/Penta.png,32,136,32,34
graphics/Penta.png,0,136,32,34
graphics/Penta.png,32,136,32,34
graphics/Penta.png,0,136,32,34
graphics/Penta.png,32,136,32,34
graphics/Penta.png,0,136,32,34
graphics/Penta.png,32,136,32,34
graphics/Penta.png,0,136,32,34
graphics/Penta.png,32,136,32,34
graphics/Penta.png,0,136,32,34
graphics/Penta.png,32,136,32,34
graphics/Penta.png,0,136,32,34
graphics/Penta.png,32,136,32,34
graphics/Penta.png,0,170,32,34
